,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,205291785,1365519,1109873,51823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,83215,207169884,556833,9068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,5395821,171725,169423080,32800130,28244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,0,0,51,70960292,118111170,17827317,427997,477995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,0,0,0,2790,58856959,57727220,32433983,57597924,1057614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,0,0,0,3710,2709341,93801115,32540931,13244543,1726956,4716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,0,16,2690532,84204466,21818281,161040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,0,728281,40904187,60400726,74832757,11346139,67385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,0,1094,927660,1103895,26087498,147943199,31145491,81536,0,5063,516829,833,0,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,0,17575,78384,3961578,70383443,131398477,1626207,5197,79623,268516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,0,0,14055,205479,2614633,143716385,39622951,20653113,961971,30413,0,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,0,0,32743,343148,4991035,17059978,2695628,157646042,24770699,277385,2342,0,0,0,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,0,0,0,12628,2372324,1590788,163850,26127235,171493444,5028318,1029757,272,0,0,0,0,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,0,0,0,0,0,2635965,186036178,9813610,9311173,0,13214,0,8860,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,0,2148178,10376575,194870157,339583,0,84507,0,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3827073,21243725,170165379,11068483,822677,583390,43203,0,65019,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387904,190584570,55,13587749,0,0,2258722,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9080,3184,207335749,470987,0,0,0,0,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7461,2783,19810752,187998004,0,0,0,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387719,4593708,0,0,180002034,22529166,304654,1601,0,118,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6284432,190082978,925332,7001008,2648176,877074,0,0
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4176,0,0,178315678,29499146,0,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7972348,199649783,196869,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212321,0,1331047,171265739,34969359,37864,1845
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3331068,0,589,36535166,128991380,37929638,1029399
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564132,31794786,167295737,7120654
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,4594020,917165,189405756
