,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,165262291,33262737,8712715,580430,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,51285,207438756,308058,20901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,18657022,27887678,131352548,20115035,1810569,1367474,299196,563165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,681972,1750794,21158060,104681765,60391320,14534725,738495,1118741,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,46918,10910,4022621,11306123,79555947,44964125,16459316,43723066,4458874,8109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,151,16217,487865,2318184,17764063,100664872,9257419,35612732,3412850,30952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,7605,929790,6655709,116032777,36892209,4976316,324957,13525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,11252,224739,37092206,57121002,96859639,6517616,32969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,0,251,95682,1276216,24561192,127419739,52925336,516227,5775,177962,720710,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,0,15275,215140,3079004,62263644,135989654,3906623,55491,751014,1532784,1074,45,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,0,0,0,25651,811791,143930772,42642317,19935224,472487,162,414,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,0,0,0,8417,333105,46102075,145684341,14824702,860391,0,3433,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,0,1845,12333,141562,3868677,16597907,2241665,148891970,35569837,250082,242665,0,0,0,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,0,0,0,14773,1946346,1059236,193043,18659256,170237925,8321825,7340743,37246,0,537,0,710,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,0,0,0,0,293,4012902,172048017,26942098,4706074,4403,50235,9328,45650,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,0,1983853,30534388,175294667,6034,0,58,0,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,650,6233551,19365080,175866840,239874,2035734,3952762,117615,0,6894,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32207168,158694907,4137,15919672,993055,0,61,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,207169576,649371,0,0,0,0,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22647,15436905,13324312,179035136,0,0,0,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20459,0,1495779,9632425,0,245785,191422779,2384530,2292166,321697,0,0,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13955295,175380660,694786,4309808,8620140,4480326,62092,3485
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954618,0,1886,50590,0,196208198,9603324,371,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84805060,119960257,3053683,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55071,0,0,948,1847095,331410,48954598,146303617,9670949,353573,135005
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7302276,0,83372,52663161,127408193,17412794,2927320
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771332,0,117752,2290365,45981296,134089420,23397543
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555463,788356,5673741,175101152
