,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,171893763,22939579,11990924,842408,148499,3798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,55048,207317270,414147,30282,2253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,1769831,163806,157278362,44846281,3437190,308606,32,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,3170749,1396297,8071467,65941964,74997056,33863850,6086087,10386384,3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,799,14663,1490778,7955347,40585347,68653670,20873387,49656328,4100923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,0,12,45697,1596314,7621350,44822730,19341329,46274789,1377562,3727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,0,608557,4156420,41799819,36635120,51941056,6335251,3760185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,58688,682039,26735562,64579917,80403716,20399520,725641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,0,0,586954,4356125,39687974,127227421,34906359,694132,8140,156208,83040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,0,31540,324690,4540837,79429340,119221648,3322324,59396,737166,147803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,0,0,2021,97892,903059,148247359,38983088,18928864,656717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,0,0,493,30984,790905,46079425,141222751,18284848,1396981,12584,6,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,220,4843,146227,646016,6008235,22606575,4729853,154123905,19542824,5970,3716,0,0,0,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,0,0,2023,51087,2938642,1301620,113262,19849912,171242055,8283842,4013332,32,0,34,0,0,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,0,0,0,0,0,3509934,193123343,11185723,0,0,0,0,0,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,0,2738170,48902738,151594805,4583287,0,0,0,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8127401,8126864,191274900,8629,275110,6096,0,0,0,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26536547,181152063,0,130390,0,0,0,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11314,0,206384417,1421801,0,0,1468,0,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25460422,3617374,178716187,0,0,25017,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867483,0,25015109,413426,0,0,162544160,18978822,0,0,0,0,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2333503,205435957,0,24468,25072,0,0,0
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65828,0,0,0,0,206598493,1154679,0,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,738441,205347250,1730933,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,156009002,51809047,0,0
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13095691,0,0,10591043,169334184,14798082,0
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927625,0,0,6,4151437,202658731,81201
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93703,3353287,197595372
