,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
BP01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743026047226809e-11,2.280801198289378e-06,4.826235748072579e-06,6.080345796045438e-05,5.991772359169664e-07,1.2376757352245548e-06,1.3826337324380175e-06,6.976759723365684e-09,0.0,2.57817164283483e-09,0.0,0.0,0.0,0.0,0.0
BP02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.510171633175613e-06,7.72073717212168e-05,2.205054349666397e-09,8.972151854729241e-07,3.278508538762675e-08,0.0,1.2417108573798894e-07,0.0,0.0,0.0,0.0,0.0
GD01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.982510886121356e-12,3.1015556378548487e-09,6.296868866920434e-08,9.362960318652976e-09,0.0001516143989789717,3.1744422337978404e-07,0.0,0.0,2.39271301087406e-10,1.7619057491246732e-10,0.0,0.0,0.0,0.0
BP03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2225593958118636e-09,7.706988109705774e-09,6.308060174747626e-06,7.019916727084553e-06,4.4366319676242985e-05,0.0,0.0,1.1071295340766243e-07,0.0,0.0,0.0,0.0,0.0
WG01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1848193856269532e-06,9.465289118833496e-11,4.28600694185824e-06,1.559223869124063e-06,0.0,1.1701631838176627e-08,5.114963559850246e-05,1.3402472428581765e-06,9.657335561460624e-08,1.3122020842308923e-08,2.0151225080605148e-09,5.25068127876542e-12,0.0,0.0
WG02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53408751925703e-12,6.847890796092029e-11,0.0,0.0,4.352066962377545e-06,3.8798517099284273e-05,5.809297293678585e-08,5.138313420370662e-07,6.614792103930733e-07,3.3047815111931263e-07,1.594727541495221e-09,1.0266044775891879e-10
GB96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.454867173687527e-07,0.0,1.638797005581644e-10,1.6586252702412835e-09,0.0,6.324294462494015e-05,3.4846748774576245e-06,1.2743047396516776e-11,0.0,0.0,0.0
EG01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9439946675443032e-09,7.231758508396551e-11,4.528686553333499e-06,6.810797942306543e-05,1.1483720638174803e-06,0.0,0.0,0.0
EG02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4824949685384238e-09,0.0,0.0,2.977519968144387e-11,5.600125288861424e-07,1.1897373930684075e-08,2.2440129290763632e-06,5.2673327088791445e-05,1.1337551322426678e-05,1.9730977736155414e-08,4.030988281574903e-09
LL17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8337039086876305e-06,0.0,3.34312403789743e-09,6.579584523865697e-06,6.07108711043833e-05,4.772337114025744e-06,1.4844061191759864e-07
IU07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.031223568266877e-07,0.0,4.692077443735202e-09,3.2622562061015994e-07,7.059992161444554e-06,4.22059752887777e-05,9.488783793193621e-07
FI01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3762475239769586e-10,0.0,0.0,2.0669537258595003e-08,3.4937447634394016e-07,1.044194587612491e-06,5.364101417898093e-05
