,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,195420010,8181557,3139554,728430,229500,62116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,14813,205804806,1249279,462995,193272,72702,105,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,5206576,2346676,150323401,37945604,5874460,4962257,37067,57453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,0,455834,7601036,68177391,87404880,23712982,3979331,6101815,53243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,0,0,210,6735688,64444575,54364218,13925143,44326968,2697283,3226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,0,0,0,46,4126970,69860399,16713521,41673596,2269552,11841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,0,3354,5628664,49500956,49251934,37203459,5777731,69221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,7621,2110903,57673029,60741076,48242111,7922224,102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,0,744,894107,6380419,26646717,120895300,51900751,227600,799,17253,755403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,3787,124798,945974,4350581,65106522,131174396,4770847,77658,451192,789151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,0,0,2648,50431,1554764,130747839,30031979,37547108,7307970,23790,552432,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,0,0,1647,21829,1115525,42446408,134956985,25492573,3651155,9706,123172,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,945,10753,85782,582975,7403057,21121534,3068084,152395860,22985641,99930,63455,133,0,851,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,914,2379,12256,71542,3185360,2040790,102451,19827224,168563522,5653159,8248279,44818,0,52654,7789,0,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,82,25932,0,0,54,6424468,164291187,36895645,176145,0,5487,0,0,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,0,156036,78787831,121362380,7512753,0,0,0,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8442911,14628991,173647647,214051,41404,10841961,2035,0,0,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173122,207645466,0,412,0,0,0,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2719,7161,103,204747496,3061521,0,0,0,0,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9024457,20523553,178063187,0,0,207803,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740258,138514,0,0,201616121,5317217,6890,0,0,0,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9509537,198309463,0,0,0,0,0,0
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186568729,21250271,0,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93741,0,9098581,182023753,16602925,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14789247,0,1783,132899233,59759819,368918,0
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48381575,0,0,7930960,149905711,1600754,0
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4256055,0,0,0,4438980,199123564,401
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,413236,12256573,185585575
