,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,164367552,22353457,18751413,2037775,248350,22252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,99837,206663607,761706,228460,64933,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,22129108,13596795,128997536,36493206,4275451,199875,260,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,2989429,3844026,14576460,98330997,59203221,14467645,3795417,7630597,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,0,417170,3263453,8399361,68123327,59832054,16596096,42582721,85157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,0,0,5639,1493993,8357732,110533822,9783259,17297572,331516,4197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,0,917111,5117587,99119113,22586685,15944417,43595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,130,339460,36806070,64538976,95068695,882373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,55853,403835,1212506,2691491,39811465,147509275,15992393,14736,0,451,38616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,1536,38923,167000,2701705,76059239,124883666,3127434,114364,256211,459435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,0,530,12921,184786,1556735,145762108,44650790,15206971,444024,135,0,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,0,86,5271,40040,1213702,40725229,150684882,14805104,344549,137,0,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,24,843,46584,221062,4118881,19262907,3433481,157360340,23172623,185042,17213,0,0,0,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,0,0,1296,8013,983573,708429,13161,26550725,174218242,2322055,3003970,9536,0,0,0,0,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,0,0,0,0,0,73427,170318322,22891702,14532864,739,0,0,1946,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,0,3538626,37753975,164748113,1778286,0,0,0,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2326465,16290444,189202066,25,0,0,0,0,0,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115860,207703140,0,0,0,0,0,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,207511893,306843,0,0,0,0,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23756426,30508,184032066,0,0,0,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3290235,0,16945980,2470458,0,0,180673619,4438708,0,0,0,0,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10966957,191773629,0,1567358,3511056,0,0,0
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207818153,847,0,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,207812063,5996,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8490,0,0,187933323,19877187,0,0
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338809,0,0,5134215,184374856,15971120,0
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9401,0,0,6274,2053494,205721813,27335
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,548263,203482184
