,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,196247228,8223231,3324221,4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,361147,207146013,311732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,5419531,8162326,146628214,40287548,1933392,4176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,0,6585,814501,96223167,55815184,38739580,5463640,10200944,469199,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,0,0,0,2281045,61942677,48442029,18825465,64852569,6514722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,0,0,2682,2935983,12162864,92429380,18844164,23283599,1766362,52484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,0,125,4014951,101991038,21210245,2830072,12550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,222512,2017353,39369038,62411065,81255486,12739097,95238,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,248,57350,735949,2596672,27094156,136824479,38952160,325263,10979,111695,985734,196,0,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,0,19309,172656,3206245,59718630,137214200,4869054,213129,986412,1417015,166,0,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,0,0,0,8562,955032,162023635,27560412,15548037,1721037,1609,676,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,0,0,0,4579,661370,55745361,129678462,18826288,2889677,1869,11394,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,0,0,4990,134753,4345673,17546040,3113803,149027394,33604424,17793,23918,193,0,0,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,0,0,216,89061,2623571,487154,84637,12147821,177176003,6431031,8723422,21019,0,12988,314,0,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,0,0,0,0,0,801326,166791270,40208679,5109,0,12616,0,0,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95690973,110105514,1644296,0,378217,0,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307552,11235625,188481608,88384,1424986,4280845,0,0,0,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31529673,176275374,0,13953,0,0,0,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191,0,205612943,2194235,0,0,5206,4425,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5300113,2300878,200167928,0,0,50081,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620179,0,18109059,10825235,0,0,177775227,420418,68882,0,0,0,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,0,0,30702399,177115984,0,0,0,0,0,0
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10838919,0,0,0,0,196979542,539,0,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5344699,201704558,769743,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5674023,0,1180474,187284661,13679842,0,0
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19892480,0,0,18241056,166866835,2818629,0
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4285500,0,0,4785061,28016961,170694567,36679
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,268164,3443440,195094459
