,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,204257979,2769030,781539,10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,4227,207701640,106031,7102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,4364812,2084470,159295958,40472056,1452072,146615,1605,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,0,3711,174478,71289650,98702771,33206177,2896762,1534525,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,0,0,0,27955,38462466,68548878,42250248,53698644,1028708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,0,0,0,0,2355508,95464888,18742272,10539397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,0,1595,6328108,99991693,6995174,1398367,25884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,0,209316,40629861,65444294,75161586,18119614,25615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,0,0,579343,2504114,24616775,155749967,24232457,68811,0,341,45899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,0,7856,260705,3390546,76951590,123785407,2734856,24959,206359,455983,88,0,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,161,2140,104936,153466,1302923,138724325,37143708,28483678,1887764,312,15587,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,396,1502,89952,249026,996704,45290254,132879131,27097672,1207016,972,6375,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,6897,11318,221602,313545,5818153,21286867,1963100,161778664,16333270,1143,81329,0,0,0,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,0,0,2763,44192,3031794,860352,35251,16672889,180959697,303141,5843521,9159,0,221,0,0,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,0,0,0,0,0,9987419,130670972,66776306,332619,0,51684,0,0,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,0,3053569,122931477,66059384,14620669,0,1150006,3895,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8239561,4514574,154641811,128235,9455684,30839135,0,0,0,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7634347,200184653,0,0,0,0,0,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,2051,0,207112993,703655,0,0,0,0,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22895211,11548017,171261598,0,0,2114174,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23284313,2269,37970368,543397,0,187064,145831589,0,0,0,0,0,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,902,0,0,48800684,159017214,0,0,0,0,0,0
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5059218,0,0,2223,0,202526822,230737,0,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,15284683,185361405,7172137,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501724,0,0,150847438,56461892,7946,0
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28504607,0,0,24799619,129341587,25173187,0
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15264796,0,0,833759,28607768,163098997,13568
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18736,729403,198882785
