,WH02,SK01,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BE01,SW08,HR21,BB23,BB36,BP01,BP02,GD01,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU07,FI01
WH02,205477245,1252341,957450,58233,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK01,449868,204373184,2274885,713907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB02,1369025,465764,191693568,14211805,54078,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB01,0,0,438,73175683,118858796,13482837,1032861,693342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB01,0,0,0,461063,46183978,79330497,25772873,39159836,1742044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR02,0,0,0,0,3923518,57443610,16417785,40483515,1317990,33659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR03,0,0,0,0,2267242,83168519,33142463,36289305,68435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SR01,0,0,0,0,1690556,37901047,66940375,75249867,12833943,833941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG02,0,0,0,0,119805,1584947,4377862,29513325,122734025,48727270,274001,219,26585,94198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KG01,0,0,0,0,6722,267606,674069,3722736,63829376,132401381,4875902,140699,692025,1148050,1031,0,0,0,0,0,0,0,0,0,0,0,0,0
KB03,0,0,0,0,0,0,660,3504,26506,833955,133768189,40889110,28470416,3824390,0,1754,0,0,0,0,0,0,0,0,0,0,0,0
BE01,0,0,0,0,0,138,101,2442,19895,446706,39106785,148656894,16818969,2766809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW08,0,0,0,0,0,138,1922,25127,253992,5215040,19991716,3155590,148970752,30151826,51839,1058,0,0,0,0,0,0,0,0,0,0,0,0
HR21,0,0,0,0,0,0,0,1268,11349,1965279,2338608,97475,17240059,173335132,9345564,3456605,372,0,188,0,0,0,0,0,0,0,0,0
BB23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162826972,28763960,15645291,0,578765,4012,0,0,0,0,0,0,0,0
BB36,0,0,0,0,0,0,0,0,0,0,0,0,2282,3446285,73612899,116560789,10996318,0,3198585,1842,0,0,0,0,0,0,0,0
BP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12128581,13752671,178626326,1545496,1066439,640190,59297,0,0,0,0,0,0,0
BP02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18619621,187920975,22811,0,50869,0,1204724,0,0,0,0,0
GD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,1425094,184125,205063311,1146285,0,0,0,0,0,0,0,0
BP03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29307,174516,20785050,14810202,171330306,0,0,689619,0,0,0,0,0
WG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3308788,0,7407519,3598600,0,0,189090158,4327882,21126,6259,58668,0,0,0
WG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10763283,192363614,0,0,2623986,2068117,0,0
GB96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839147,0,0,0,0,181730132,25249721,0,0,0,0
EG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100452,203817227,3901321,0,0,0
EG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588244,414,4819650,201171384,1239308,0,0
LL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12332,0,0,15102800,169341497,22279219,1083152
IU07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323564,0,0,0,9379093,198113425,2833
FI01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5680,0,0,12131,1259847,11391959,183374984
